SalePrice,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_manager,N_elevators,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total),class_price
43185,1992,2010,10,355,13,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
43362,1992,2011,12,355,5,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
43362,1992,2011,1,355,11,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
44247,1986,2008,1,508,1,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
44247,1992,2008,5,576,4,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
44247,1992,2010,7,576,13,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
44690,1985,2008,5,498,7,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
46017,1992,2008,9,355,9,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
46902,1992,2012,6,355,1,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
46902,1986,2010,3,451,5,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
46902,1985,2007,10,587,5,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
47787,1986,2008,11,508,2,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
48053,1992,2012,3,355,8,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
48672,1986,2008,4,508,6,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
48672,1992,2009,4,576,9,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
48672,1992,2008,7,576,3,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
48672,1985,2007,8,587,6,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
49115,1992,2012,5,355,10,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
49557,1992,2010,10,576,13,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
49557,1992,2011,9,355,13,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
49734,1992,2012,2,355,11,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
51327,1992,2009,2,576,1,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
51327,1986,2008,1,508,11,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
51327,1985,2007,8,587,8,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
51327,1992,2011,12,355,6,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
51327,1986,2008,3,508,2,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
52212,1992,2012,7,355,3,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
52212,1986,2008,1,547,4,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
52477,1986,2010,5,508,3,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
53097,1992,2009,3,644,1,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
53097,1985,2010,5,587,4,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
53097,2014,2017,8,135,11,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
53097,1986,2010,9,508,3,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
53097,1992,2012,2,355,8,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
53097,1985,2008,12,587,4,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
53097,1992,2009,11,576,1,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
53097,1992,2010,3,576,12,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
53097,1986,2008,5,451,13,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
53274,2014,2016,3,135,14,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
53982,1985,2010,8,587,7,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
53982,1986,2008,5,451,9,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
53982,2014,2016,3,135,12,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
53982,2014,2016,2,135,19,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
53982,2014,2014,10,135,12,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
53982,1997,2009,3,430,10,82.00,56.00,7.50,17.50,1.00,2.00,4.00,7.00,1,2.00,1.00,1.00,1.00,4.00,0.00,0.00,3.00,5,13.00,7.00,A
53982,2014,2017,6,135,18,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
53982,2014,2014,10,135,13,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
53982,1986,2010,1,508,12,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
54424,2014,2015,10,135,15,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
54867,1992,2013,7,355,9,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
54867,1985,2012,9,498,9,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
54867,1992,2010,9,640,9,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
54867,2014,2016,8,135,19,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
54867,2014,2015,10,138,19,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
54867,1980,2014,10,910,3,90.00,1174.00,2.50,2.50,10.00,7.00,20.00,7.00,1,0.00,1.00,5.00,0.00,4.00,3.00,5.00,5.00,9,14.00,17.00,A
55309,1985,2010,4,587,5,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
55309,2014,2016,7,135,18,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
55663,2014,2016,9,135,13,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
55752,1985,2009,7,587,4,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
55752,1986,2009,7,547,2,100.00,18.00,2.50,7.50,1.00,1.00,2.00,5.00,1,2.00,1.00,1.00,1.00,6.00,2.00,3.00,2.00,3,11.00,13.00,A
55752,2014,2017,4,156,15,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
55752,2014,2016,6,135,12,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
55752,1992,2012,7,355,7,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
55752,1992,2010,1,576,5,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
55752,1985,2008,6,587,9,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
55752,1985,2007,11,587,9,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
55752,2014,2016,6,135,19,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
55752,2014,2016,8,135,14,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
55752,2014,2017,6,138,18,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A
55752,1985,2009,9,587,9,80.00,76.00,2.50,7.50,1.00,2.00,2.00,5.00,1,2.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,3,12.00,4.00,A
